,task_type,domain,criteria_name,criteria_description,rubrics,rubrics_example
286,Перевод на русский или английский,,Сохранение принадлежности к функциональному стилю,"Данный критерий оценивает, сохраняется ли в переводе функциональный стиль

При переводе текст должен сохранять свой функциональный стиль: художественный, публицистический, официально-деловой, научный или разговорно-бытовой, в том числе языковые особенности каждого стиля.","0: Модель полностью изменила функциональный стиль.

1: Модель сохранила функциональный стиль, но при переводе в тексте появились некоторые языковые средства, не характерные для этого функционального стиля.

2: Текст перевода полностью соответствует тому функциональному стилю, в котором написан текст оригинала.",
287,Отредактировать текст,,Сохранение принадлежности к функциональному стилю,"Данный критерий проверяет, что модель следует тому функциональному стилю, в котором написан оригинал (если в запросе пользователя не указано иное).

Модель не должна использовать языковые средства, противоречащие тому функциональному стилю, в котором написан оригинальный текст.","0: В ответе модели три или более ошибок, связанных с функциональным стилем.

1: Ответ верный, но модель допустила одну-две ошибки, связанные с функциональным стилем.

2: Ответ верный, модель сохранила принадлежность к функциональному стилю (в рамках запроса).","Запрос пользователя: Исправь все ошибки в тексте:
Уважаемый начальник! Я Иванов Иван Иванович хочу отметить, что на протяжении всего этого года ответственно подходил к решению рабочих задач и всегда доделывал работу до конца. Также я никогда не опаздывал, а если была такая необходимость, то и задерживался на рабочем месте, например, вчера. Еще хочу обратить ваше внимание на то, что я использую свой перерыв только для того, чтобы покушать, а потом снова приступаю к своим рабочим обязанностям.

Ответ модели:
Уважаемый начальник! Я, Иванов Иван Иванович, хочу отметить, что на протяжении всего этого года ответственно подходил к решению рабочих задач и всегда доделывал работу до конца. Также я никогда не опаздывал, а если была такая необходимость, то и задерживался на рабочем месте, например вчера. Еще хочу обратить Ваше внимание на то, что я использую свой перерыв только для того, чтобы покушать, а потом снова приступаю к своим рабочим обязанностям.

Оценка разметчика: 1 
Стиль письма официально-деловой. Модель упустила одну ошибку (глагол «кушать» стилистически ограничен в своем употреблении и не соответствует тому стилю речи, в котором написан текст)."
288,Перефразировать текст,,Сохранение принадлежности к функциональному стилю,"Данный критерий проверяет, что модель следует тому функциональному стилю, в котором написан оригинал (если в запросе пользователя не указано иное).

Модель не должна использовать языковые средства, противоречащие тому функциональному стилю, в котором написан оригинальный текст.","0: В ответе модели три или более ошибок, связанных с функциональным стилем.

1: Ответ верный, но модель допустила одну-две ошибки, связанные с функциональным стилем.

2: Ответ верный, модель сохранила принадлежность к функциональному стилю (в рамках запроса).","Запрос пользователя:
Перепиши текст, заменяя глаголы прошедшего времени глаголами будущего времени:

Я, Владимир Дмитриевич, токарь на машиностроительном заводе. За период с 21 июня по 21 августа мной выполнены следующие задачи: 
1. Закрыл квартальный план в указанные сроки. 
2. Выполнил большой объем работы. 
3. Выточил более тысячи деталей. 
4. Подготовил их к отправке. 
5. Провел совещание с новыми сотрудниками. 
Ожидаю ответное заявление с планом работ на следующий месяц. 

Ответ модели:
Я, Владимир Дмитриевич, токарь на машиностроительном заводе. За период с 21 июня по 21 августа мной будут выполнены следующие задачи: 
1. Закрою квартальный план в указанные сроки. 
2. Выполню большой объем работы. 
3. Выточу более тысячи деталей. 
4. Подготовлю их к отправке. 
5. Посовещаюсь с новыми сотрудниками. 
Буду ожидать ответное заявление с планом работ на следующий месяц.

Оценка разметчика: 1 — допущена неточность («посовещаюсь» вместо «проведу совещание»), что вносит элемент разговорно-бытового стиля и противоречит заданному официально-деловому стилю."
289,Решить задачу (STEM),,Сохранение принадлежности к функциональному стилю,"Написанный текст соответствует форматированию, принятому в научных текстах, и содержит лексику, обусловленную использованием в тексте научного стиля","0: Ответ содержит грамматические и стилистические ошибки, неправильное форматирование, некорректное употребление терминологии или ее отсутствие

1: Ответ дан грамотным научным языком",
290,Отредактировать текст,Общее,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько в ответе модели сохранены смысл и детали оригинального текста из запроса.

При редактировании смысл текста не искажен, его структура не нарушена, значимые детали не упущены. ","0: Модель не справилась с заданием: после исправления текст потерял основную мысль, значимые детали упущены.

1: В целом модель справилась, но при редактировании некоторые детали были упущены.

2: Сохранены смысл и детали оригинала.","Запрос пользователя: Отредактируй текст:
Осень 2024 обещает позвать за собой много удобных и стильных образов которые согреют и поднимут настроение в дождливые дни. В этом году осеним балом вновь будет править нестареющая классика. Элеганрные и лаконичные образы отлично подчеркнут переход от летнего игривого настроения, к серьезной осенней строгости. Однако, привычный многим оверсайз также придаст вашему образу комфорт, которого порой так не хватает в пасмурные осенние деньки.

Ответ модели:
Осень 2024-го обещает принести с собой массу удобных и стильных образов, которые не только согреют в дождливые дни, но и поднимут настроение. 
В этом году балом будет править классика. Элегантные и лаконичные образы помогут легко перейти от летнего настроения к серьезной осенней строгости. Привычный многим оверсайз также не стоит забывать — он стал символом комфорта, которого порой так не хватает дождливой осенью.

Оценка разметчика: 0 
Модель упустила некоторые детали, важные для понимания текста («осенним балом», «нестареющая классика», «летнего игривого настроения»)."
291,Суммаризация,Официально-деловой,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
292,Перефразировать текст,Общее,Сохранение смысла и деталей оригинала,"Данный критерий проверяет, что при перефразировании смысл оригинального текста не искажен, его структура не нарушена, значимые детали не упущены.","0: Модель не справилась с заданием: после перефразирования текст потерял основную мысль и/или значимые детали упущены.

1: В целом модель справилась, но некоторые значимые детали были упущены.

2: Сохранены смысл и значимые детали оригинала.","Запрос пользователя:
Перефразируй этот текст так, чтобы его писал автор сухо, без субъективной оценки и личного отношения:

Недавно я прочитал книгу «Гарри Поттер и Кубок огня». Мне она очень понравилась! Считаю, что это лучшая книга во всей серии. В ней рассказывается о Турнире Трех Волшебников. Я был в восторге, когда герои сражались с драконами и разгадывали загадки, а потом проходили лабиринт. Персонажи в этой части стали взрослее и серьезнее. А какая там эпичная и страшная концовка, у меня от нее просто мурашки по коже!

Ответ модели:
Недавно я прочитал книгу «Гарри Поттер и Кубок огня». В ней рассказывается о Турнире Трех Волшебников. Персонажи в этой части стали взрослее и серьезнее.

Оценка разметчика: 0 — модель упустила два предложения, тем самым сократила текст и не донесла до читателя нужную информацию.

Вариант правильного выполнения задания мог бы выглядеть так: 
Недавно я прочитал книгу «Гарри Поттер и Кубок огня». В ней рассказывается о Турнире Трех Волшебников: герои сражались с драконами и разгадывали загадки, а потом проходили лабиринт. Персонажи в этой части стали взрослее и серьезнее. Особо следует отметить неожиданную концовку."
293,Суммаризация,Художественный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
294,Оценить текст,Научный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
295,Оценить текст,Официально-деловой,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
296,Интерпретация текста (субъективная оценка),Официально-деловой,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
297,Анализ текста (объективный анализ),Художественный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
298,Анализ текста (объективный анализ),Публицистический,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
299,Анализ текста (объективный анализ),Научный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
300,Придумать вопрос к тексту,Научный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: Искажены основные аргументы, тезисы, пункты, факты, идеи.

1: Основные аргументы, тезисы, пункты, факты, идеи сохранены, но есть незначительные искажения.

2: Тезисы, пункты, факты и идеи правильно отражены в вопросе.",
301,Оценить текст,Художественный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
302,Интерпретация текста (субъективная оценка),Художественный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
303,Придумать вопрос к тексту,Официально-деловой,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: Искажены основные аргументы, тезисы, пункты, факты, идеи.

1: Основные аргументы, тезисы, пункты, факты, идеи сохранены, но есть незначительные искажения.

2: Тезисы, пункты, факты и идеи правильно отражены в вопросе.",
304,Придумать вопрос к тексту,Публицистический,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: Искажены основные аргументы, тезисы, пункты, факты, идеи.

1: Основные аргументы, тезисы, пункты, факты, идеи сохранены, но есть незначительные искажения.

2: Тезисы, пункты, факты и идеи правильно отражены в вопросе.",
305,Суммаризация,Публицистический,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
306,Анализ текста (объективный анализ),Официально-деловой,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
307,Стайл-трансфер,Художественный,Сохранение смысла и деталей оригинала,"Данный критерий проверяет, что стилизованный текст сохраняет смысл и детали оригинала, но подает их под углом «стилизованного» зрения: смыслы могут добавляться, но не убавляться.","0: Модель переиначивает смыслы или теряет их, уводит в сторону и не сообщает важные детали оригинала.

1: Модель сохраняет смысл и детали, но не полностью, есть потерянные при стилизации важные смыслы и детали.

2: Модель сохраняет и детали, и смысл, адекватно воспроизводит сообщение под углом нужной стилизации.","Новостная заметка, переписанная в стиле Гоголя, должна сохранять содержание и главные детали новости, при этом, например, названия транспортных средств и некоторых не современных Гоголю предметов могут изменяться — и, в общем-то, должны изменяться."
308,Стайл-трансфер,Художественный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
309,Суммаризация,Научный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
310,Интерпретация текста (субъективная оценка),Публицистический,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
311,Интерпретация текста (субъективная оценка),Научный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
312,Стайл-трансфер,Официально-деловой,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
313,Придумать вопрос к тексту,Художественный,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: Искажены основные аргументы, тезисы, пункты, факты, идеи.

1: Основные аргументы, тезисы, пункты, факты, идеи сохранены, но есть незначительные искажения.

2: Тезисы, пункты, факты и идеи правильно отражены в вопросе.",
314,Оценить текст,Публицистический,Сохранение смысла и деталей оригинала,"Данный критерий оценивает, насколько точно и полно модель передает информацию, содержащуюся в оригинале, включая ключевые аргументы, данные и контекст (без искажений, дополнений или упрощений).","0: В ответе модели смысл и детали почти не сохранены: отсутствуют основные аргументы, тезисы, пункты, факты, идеи (необходимые для выполнения задачи); и/или есть полное или явное искажение смысла текста, упущены важные детали.

1: Не все идеи интерпретированы точно; основные темы присутствуют, но их понимание не точно; большинство ключевых фактов (необходимых для выполнения задачи) отражено, и они корректны.

2: Ключевые тезисы, пункты, факты и идеи (необходимые для выполнения задачи) правильно отражены в ответе модели.",
